Time/s,True_SOC,50,100,200,300
4149,0.55109,0.553697705,0.547222197,0.556375206,0.545126319
4150,0.55078,0.553437233,0.546988368,0.556080222,0.544830263
4151,0.55048,0.553188264,0.546752572,0.555792153,0.544673026
4152,0.55048,0.553004384,0.546630859,0.555760622,0.544442952
4153,0.55048,0.552885473,0.546589494,0.555945575,0.544300318
4154,0.55048,0.552792132,0.54659754,0.556212604,0.544334769
4155,0.55048,0.552678525,0.546625614,0.556418002,0.544396818
4156,0.55048,0.552524984,0.546657801,0.556477308,0.544434905
4157,0.55048,0.552331626,0.546685398,0.556371272,0.544402719
4158,0.55048,0.552112341,0.546710014,0.556134224,0.544288993
4159,0.55048,0.551887333,0.546738386,0.5558272,0.544085562
4160,0.55048,0.551668406,0.54678154,0.555513322,0.543777227
4161,0.55048,0.551472783,0.546851099,0.555243313,0.543359637
4162,0.55048,0.551318586,0.546958625,0.555045366,0.542813241
4163,0.55048,0.551216662,0.547118962,0.554933906,0.542202413
4164,0.55048,0.551175416,0.547341645,0.554912567,0.541647971
4165,0.55048,0.551188886,0.547625899,0.554979384,0.541330814
4166,0.55048,0.551237106,0.547952414,0.555101216,0.541188002
4167,0.55048,0.551302195,0.548299849,0.555247664,0.541244209
4168,0.55048,0.551368117,0.548640549,0.555378556,0.541373134
4169,0.55048,0.551425695,0.548957348,0.555473387,0.541568279
4170,0.55048,0.551466644,0.54923588,0.555525959,0.541829944
4171,0.55048,0.551485598,0.549464703,0.555535078,0.542100251
4172,0.55048,0.551476717,0.549639046,0.555502117,0.542291701
4173,0.55048,0.551444054,0.549762607,0.555443823,0.542448938
4174,0.55048,0.551391602,0.549838305,0.555368125,0.542499721
4175,0.55048,0.551325917,0.549877644,0.555286765,0.542443097
4176,0.55048,0.55125463,0.549894452,0.555208802,0.542272508
4177,0.55048,0.551187158,0.549904883,0.55514425,0.542025149
4178,0.55048,0.551131129,0.549923658,0.555104375,0.541781485
4179,0.55048,0.551090121,0.54995811,0.555087745,0.541522205
4180,0.55048,0.551066875,0.550015688,0.555092692,0.541276813
4181,0.55048,0.551063836,0.550099909,0.5551157,0.541072011
4182,0.55048,0.551081598,0.550210834,0.555151224,0.540915191
4183,0.55048,0.551118612,0.550346971,0.555192947,0.540801942
4184,0.55048,0.551173449,0.550505221,0.555231929,0.540684342
4185,0.55048,0.551250875,0.550685823,0.55526799,0.540594161
4186,0.55048,0.551348865,0.550887764,0.5553056,0.540574908
4187,0.55048,0.551464558,0.551105261,0.555350065,0.540667117
4188,0.55048,0.551587582,0.551327407,0.555400014,0.540855348
4189,0.55048,0.551709771,0.551541507,0.555442929,0.541028738
4190,0.55048,0.551829398,0.551742971,0.555472314,0.541162848
4191,0.55048,0.55195111,0.551930785,0.555491388,0.541298091
